process,task_hash,c_bytes
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,be73af58,13837188
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-FRIP_SCORE,37521e48,19105678
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-HOMER_ANNOTATEPEAKS,b6ce72aa,57333521
NFCORE_CHIPSEQ-CHIPSEQ-BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC-BEDTOOLS_GENOMECOV,908bc78c,9964237
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTFINGERPRINT,6603c399,287172281
NFCORE_CHIPSEQ-CHIPSEQ-BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC-BEDTOOLS_GENOMECOV,a8f0470a,15794317
NFCORE_CHIPSEQ-CHIPSEQ-BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC-UCSC_BEDGRAPHTOBIGWIG,b0f6e0d4,12445883
NFCORE_CHIPSEQ-CHIPSEQ-BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC-UCSC_BEDGRAPHTOBIGWIG,b02cc82c,11684241
NFCORE_CHIPSEQ-CHIPSEQ-BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC-UCSC_BEDGRAPHTOBIGWIG,fed98863,10531794
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-HOMER_ANNOTATEPEAKS,71775330,58221590
NFCORE_CHIPSEQ-PREPARE_GENOME-GTF2BED,9607b668,15069279
